event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,under_pressure,first_time,open_goal,aerial_won,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,technique_Backheel,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
0ac4b920-e24a-478f-902c-d3793cf26db0,3869219,106,778,Japan,37215,Shogo Taniguchi,3,91,35,From Corner,114.6,49.3,10.754068997360951,-1.0447299077981325,6,11,119.0,41.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23c0f102-912d-4b11-93b7-08f61a961924,3869219,106,785,Croatia,5474,Ivan Perišić,3,100,24,From Throw In,107.2,34.1,14.094325099131208,0.4319122354723482,5,11,119.3,40.1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9373957f-01f1-44d3-a2af-6a412ae43caf,3869219,106,785,Croatia,11127,Borna Barišić,3,100,26,From Throw In,95.1,31.3,26.376125568399925,0.3361380507855677,6,11,119.2,39.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
e1912d47-5dce-4b37-8d31-b6e9482be999,3869219,106,778,Japan,37211,Kaoru Mitoma,3,104,5,From Throw In,99.8,34.6,20.909328061896204,0.261218534614535,3,8,118.6,39.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
142a9ff0-352e-46d8-9bef-e8c1372b8f37,3869219,106,778,Japan,23721,Wataru Endo,3,104,9,From Throw In,95.7,37.1,24.4724334711528,0.1187797862198709,4,9,118.6,39.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
f68691b4-7768-4512-9505-335fcb58785c,3869219,106,778,Japan,8776,Takumi Minamino,3,104,20,From Throw In,102.6,40.3,17.402586014727817,-0.0172396711945295,6,11,119.3,40.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
8aafb6ab-26fa-4ccb-87b7-a9c4e9aae35b,3869219,106,785,Croatia,22041,Marko Livaja,4,113,42,From Throw In,112.8,47.7,10.541821474489126,-0.8189426229591267,6,11,119.2,41.7,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69de8840-7050-44c6-a13a-aac71b5f6cef,3869219,106,785,Croatia,16527,Mislav Oršić,4,120,10,From Throw In,106.8,19.7,24.214252001662164,0.9942479760115368,5,10,118.6,36.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
5e58555c-4442-4907-8029-0dbd3d58d2a3,3869219,106,785,Croatia,28914,Lovro Majer,4,120,18,From Throw In,99.8,33.0,21.378493866500513,0.333584321499793,5,9,117.9,37.9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7e8a4838-4396-44cb-af8e-51df3abdd7b8,3869219,106,778,Japan,8776,Takumi Minamino,5,120,4,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
a082197d-6235-4da0-92fc-a1aa9379bc0d,3869219,106,785,Croatia,3441,Nikola Vlašić,5,120,43,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
bccd6f5b-3d78-448c-bde8-793467426a12,3869219,106,778,Japan,37211,Kaoru Mitoma,5,121,13,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
54be1e85-59c1-43cd-8da4-26db10dcd2b7,3869219,106,785,Croatia,5469,Marcelo Brozović,5,121,52,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2e48e56e-491c-4194-865d-be0b40fafb69,3869219,106,778,Japan,8949,Takuma Asano,5,122,33,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
f33dea9d-c828-4298-9983-d63a2db7557b,3869219,106,785,Croatia,22041,Marko Livaja,5,123,13,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,1,119.6,39.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2cdf3402-4fcf-45ef-9d91-8474453e45ad,3869219,106,778,Japan,3300,Maya Yoshida,5,123,50,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
d38acc97-e85e-43e6-9798-dac321842497,3869219,106,785,Croatia,11603,Mario Pašalić,5,124,28,Other,108.1,40.1,11.900420160649796,-0.0084031635476471,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
d1ec79ed-46cc-4c51-8fac-aeb33943dc28,3869253,106,781,Brazil,4320,Neymar da Silva Santos Junior,1,6,39,From Free Kick,111.3,44.4,9.749358953285084,-0.4682347327902031,5,9,119.4,43.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
44854e05-f6c8-4c2a-a7ef-9dc2ae4c7f09,3869253,106,781,Brazil,18395,Vinícius José Paixão de Oliveira Júnior,1,6,41,From Free Kick,110.0,29.9,14.213022197970425,0.7903732467283024,4,9,114.3,34.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ba9547df-81eb-4cc8-acc3-63ebec6f2c39,3869253,106,781,Brazil,4320,Neymar da Silva Santos Junior,1,12,18,Other,108.0,40.0,12.0,0.0,0,0,120.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
a19eb2c7-c412-4481-bf03-a3080127d8d1,3869253,106,791,South Korea,5620,Hee-Chan Hwang,1,16,15,Regular Play,90.4,28.0,31.939943644283403,0.3851575063634742,6,11,117.8,40.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ad60d052-a0ce-4bfe-8290-d557e0cb3a11,3869253,106,791,South Korea,23763,In-Beom Hwang,1,16,40,From Corner,91.7,46.4,29.01465147128257,-0.2224072462167426,8,10,117.5,40.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7f42485f-775b-45fb-932e-39c8eb885b90,3869253,106,791,South Korea,5620,Hee-Chan Hwang,1,24,57,From Corner,82.7,33.0,37.95115281516492,0.1855098146754077,7,9,117.4,40.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
