event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,outcome,statsbomb_xg,end_location_x,end_location_y
ba2050a7-4046-42f8-8b75-a456004568ce,7548,3,781,Brazil,5539,Carlos Henrique Casimiro,2,86,14,Regular Play,Saved,0.036078174,120.0,42.8
be151105-0cd9-49ce-a824-daa499475ad4,7548,3,781,Brazil,3501,Philippe Coutinho Correia,2,90,23,From Free Kick,Goal,0.4204949,120.0,38.9
1eec7e81-11ac-4c69-a6be-a2e32fe67247,7548,3,781,Brazil,3535,Roberto Firmino Barbosa de Oliveira,2,93,42,Regular Play,Off T,0.15961349,120.0,45.4
45b545f0-5876-425a-ae72-8ea1179953ef,7548,3,781,Brazil,4320,Neymar da Silva Santos Junior,2,96,45,From Counter,Goal,0.837965,120.0,36.6
7229ded8-e356-4f3c-b882-c61057932641,7578,3,783,Uruguay,4319,Edinson Roberto Cavani Gómez,1,7,53,Regular Play,Saved,0.060392763,119.0,37.0
30374964-863a-4872-a292-b200c7c40c05,7578,3,774,Egypt,5261,Mahmoud Ibrahim Hassan,1,11,0,From Free Kick,Saved,0.10038112,118.0,43.8
a5bdba7b-b198-4c29-a0ad-e0298d76aa2d,7578,3,783,Uruguay,5246,Luis Alberto Suárez Díaz,1,13,14,From Throw In,Off T,0.04369932,120.0,46.0
40806951-5f84-44d7-b646-d7720a3a56a5,7578,3,783,Uruguay,4319,Edinson Roberto Cavani Gómez,1,22,27,From Corner,Blocked,0.027233513,111.0,33.0
ea9ee5ca-5a01-4fe7-900d-a3eaf8466bab,7578,3,783,Uruguay,5248,José Martín Cáceres Silva,1,23,1,From Corner,Wayward,0.06760274,114.0,41.0
cb68ae6f-45d5-4ebe-aece-119921897b38,7578,3,783,Uruguay,5246,Luis Alberto Suárez Díaz,1,23,2,From Corner,Off T,0.52513975,120.0,35.4
5d6da10d-61d0-4c5f-805c-e29a9d3b4e7d,7578,3,774,Egypt,5252,Marwan Mohsen,1,25,46,From Keeper,Saved,0.056479577,118.0,38.5
09946bf3-841e-47cc-9a67-5ccefb36e0f4,7578,3,783,Uruguay,5255,Matías Vecino Falero,1,28,43,Regular Play,Off T,0.005622683,120.0,34.8
cca9f897-2d38-4060-adb7-4b42dc08afc8,7578,3,783,Uruguay,5246,Luis Alberto Suárez Díaz,1,31,31,From Free Kick,Blocked,0.027368054,97.0,37.0
18e0e89a-9c36-4fa7-ae6b-b2d80a7ebf27,7578,3,774,Egypt,5251,Abdalla Mahmoud El Said Bekhit,1,42,40,Regular Play,Wayward,0.07929382,107.0,46.0
70b06043-1605-421f-81b5-fe8bd8d7cb9a,7578,3,774,Egypt,5262,Tarek Hamed,1,45,54,Regular Play,Blocked,0.019357108,95.0,38.0
dfa65faf-6d64-4cfe-9652-1e1fc0eb7f35,7578,3,783,Uruguay,5246,Luis Alberto Suárez Díaz,2,45,51,Regular Play,Saved,0.20541766,117.0,42.8
9f4ba57c-9d9e-45da-9bb3-a04a39dafded,7578,3,774,Egypt,5261,Mahmoud Ibrahim Hassan,2,55,15,Regular Play,Off T,0.009718898,120.0,32.5
