player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
3449,Wayne Routledge,Swansea City,Premier League,28,1718.0,Right Wing
3532,Jordan Brian Henderson,Liverpool,Premier League,17,1338.0,Right Center Midfield
3462,Jack Frank Porteous Cork,Swansea City,Premier League,35,2667.0,Right Center Midfield
3529,Daniel Andre Sturridge,Liverpool,Premier League,14,1020.0,Center Forward
3815,Kasper Schmeichel,Leicester City,Premier League,38,3581.0,Goalkeeper
3270,Danny Simpson,Leicester City,Premier League,30,2711.0,Right Back
3813,Wes Morgan,Leicester City,Premier League,38,3581.0,Right Center Back
40123,Robert Huth,Leicester City,Premier League,35,3301.0,Left Center Back
3812,Christian Fuchs,Leicester City,Premier League,32,2835.0,Left Back
3961,N''Golo Kanté,Leicester City,Premier League,37,3169.0,Left Defensive Midfield
3814,Riyad Mahrez,Leicester City,Premier League,37,3091.0,Right Midfield
3662,Danny Drinkwater,Leicester City,Premier League,35,3152.0,Left Center Midfield
3307,Marc Albrighton,Leicester City,Premier League,38,2821.0,Left Midfield
3671,José Leonardo Ulloa,Leicester City,Premier League,29,1078.0,Right Center Forward
10960,Jamie Vardy,Leicester City,Premier League,36,3253.0,Left Center Forward
20074,Artur Boruc,AFC Bournemouth,Premier League,32,3010.0,Goalkeeper
6409,Adam Smith,AFC Bournemouth,Premier League,31,2223.0,Right Back
3608,Simon Francis,AFC Bournemouth,Premier League,38,3540.0,Right Back
3341,Steve Cook,AFC Bournemouth,Premier League,36,3335.0,Left Center Back
3345,Charlie Daniels,AFC Bournemouth,Premier League,37,3431.0,Left Back
3344,Andrew Surman,AFC Bournemouth,Premier League,38,3578.0,Center Defensive Midfield
3049,Matt Ritchie,AFC Bournemouth,Premier League,37,3094.0,Right Midfield
3343,Dan Gosling,AFC Bournemouth,Premier League,34,2562.0,Right Center Midfield
3304,Harry Arter,AFC Bournemouth,Premier League,21,1693.0,Left Center Midfield
3463,Junior Stanislas,AFC Bournemouth,Premier League,21,1487.0,Left Midfield
3346,Joshua King,AFC Bournemouth,Premier League,31,1965.0,Center Forward
3810,Shinji Okazaki,Leicester City,Premier League,36,2104.0,Right Center Forward
5108,Glyn Oliver Myhill,West Bromwich Albion,Premier League,23,2171.0,Goalkeeper
3523,Craig Dawson,West Bromwich Albion,Premier League,38,3538.0,Right Back
3596,Gareth McAuley,West Bromwich Albion,Premier League,34,3195.0,Right Center Back
11012,Jonathan Grant Evans,West Bromwich Albion,Premier League,30,2703.0,Left Center Back
3541,Chris Brunt,West Bromwich Albion,Premier League,22,1878.0,Left Back
2966,Stéphane Sessègnon,West Bromwich Albion,Premier League,25,1809.0,Right Midfield
4022,Darren Fletcher,West Bromwich Albion,Premier League,38,3523.0,Right Center Midfield
3967,Claudio Ariel Yacob,West Bromwich Albion,Premier League,34,2943.0,Left Defensive Midfield
3514,James McClean,West Bromwich Albion,Premier League,35,2524.0,Left Midfield
4041,José Salomón Rondón Giménez,West Bromwich Albion,Premier League,34,2634.0,Center Forward
4630,Saido Berahino,West Bromwich Albion,Premier League,31,1834.0,Left Center Forward
10503,Billy Jones,Sunderland,Premier League,24,2119.0,Right Back
10783,Lee Cattermole,Sunderland,Premier League,31,2293.0,Right Center Midfield
3337,Jermain Defoe,Sunderland,Premier League,33,2667.0,Center Forward
9485,Craig Gardner,West Bromwich Albion,Premier League,34,2133.0,Left Midfield
3096,Rob Elliot,Newcastle United,Premier League,21,1976.0,Goalkeeper
