event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,under_pressure,body_part,technique,shot_type,first_time,aerial_won,open_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,end_location_x,end_location_y,outcome,statsbomb_xg
35c7d57e-4ece-4607-acd1-6fc535aca1e8,3857287,106,783,Uruguay,32478,Darwin Gabriel Núñez Ribeiro,2,80,43,Regular Play,100.6,28.3,22.655021518418387,0.5426905031793986,False,Right Foot,Normal,Open Play,False,False,False,4,9,118.3,38.3,120.0,46.3,Off T,0.028178101
52fadd3f-9f6a-4697-a1e2-4c86fb7c27c4,3857287,106,783,Uruguay,4319,Edinson Roberto Cavani Gómez,2,86,56,Regular Play,110.5,39.7,9.504735661763561,0.03156845648777777,False,Head,Normal,Open Play,False,False,False,6,9,119.0,39.6,120.0,33.7,Off T,0.06689449
b43973c6-dec2-486a-97e0-d932042e7295,3857287,106,783,Uruguay,6773,Federico Santiago Valverde Dipetta,2,88,58,Regular Play,95.7,22.6,29.887288267756908,0.6214163465967601,False,Right Foot,Normal,Open Play,False,False,False,5,10,118.2,40.0,119.9,36.1,Post,0.012294213
c2770548-8c9d-474a-8cd7-6114ce4f76e1,3857287,106,791,South Korea,3083,Heung-Min Son,2,89,54,From Goal Kick,93.8,36.6,26.419689627245816,0.12904979573425654,False,Left Foot,Normal,Open Play,False,False,False,3,8,118.3,39.8,120.0,46.1,Off T,0.0335565
0ada1c14-4a75-4b1b-98b2-bd91c1f22dbd,3857287,106,791,South Korea,23763,In-Beom Hwang,2,93,6,From Throw In,94.9,26.7,28.40598528479517,0.48726526400575676,False,Left Foot,Normal,Open Play,False,False,False,4,8,117.3,38.8,120.0,31.4,Off T,0.023029828
dd62c1c2-00a9-4b33-a516-6094ca80e218,3869486,106,780,Portugal,12041,João Félix Sequeira,1,3,59,From Free Kick,106.8,44.2,13.852075656738238,-0.30805278102377653,False,Head,Diving Header,Open Play,False,False,False,5,9,116.4,41.1,118.1,42.9,Saved,0.0989785
9f344f5d-4d72-4cf2-8eac-ed7c83a87f65,3869486,106,788,Morocco,6301,Youssef En-Nesyri,1,5,56,From Corner,112.7,39.4,7.324616030891992,0.08200744552618583,False,Head,Normal,Open Play,False,False,False,7,11,118.8,40.1,120.0,38.1,Off T,0.117904566
acc5950a-c4d0-4ca7-8f0d-61a7de6ac0e8,3869486,106,780,Portugal,5209,Raphaël Adelino José Guerreiro,1,12,26,From Free Kick,105.6,23.6,21.824756585125986,0.8502421909506548,False,Left Foot,Volley,Open Play,True,False,False,6,9,118.5,37.4,114.0,34.9,Blocked,0.019215545
9cf778f8-eb3d-4bc5-ab35-0f3a147db977,3869486,106,788,Morocco,5237,Hakim Ziyech,1,17,49,Regular Play,96.1,60.9,31.749330701606926,-0.7185337033339988,False,Left Foot,Normal,Open Play,False,False,False,5,9,116.8,42.7,120.0,47.8,Off T,0.008206696
9e674fd1-9541-42e1-921f-a8ccbed1d7c6,3869486,106,788,Morocco,6301,Youssef En-Nesyri,1,25,21,From Free Kick,106.7,39.8,13.301503674397114,0.015036460658861604,False,Head,Normal,Open Play,False,False,False,6,11,116.5,40.4,120.0,48.7,Off T,0.043849364
646d8725-6259-4863-92b3-0ea602d4bdd4,3869486,106,780,Portugal,12041,João Félix Sequeira,1,30,9,Regular Play,100.9,27.7,22.717834403833475,0.5721309205557776,False,Right Foot,Half Volley,Open Play,False,False,False,6,11,117.7,37.9,104.5,29.9,Blocked,0.027014187
971e3e9c-a536-4987-be86-fed114271c3e,3869486,106,788,Morocco,23774,Selim Amallah,1,34,2,Regular Play,108.7,31.3,14.261135999632005,0.6561231593493053,False,Left Foot,Half Volley,Open Play,True,False,False,6,10,118.7,36.3,120.0,37.0,Off T,0.06053267
9000f0f2-73ed-4a71-917d-2d525af7ba80,3869486,106,788,Morocco,3625,Sofiane Boufal,1,34,56,Regular Play,97.0,27.8,26.03536056980967,0.48769795368614743,False,Right Foot,Normal,Open Play,False,False,False,6,11,118.2,38.2,117.3,38.6,Saved,0.03503226
60fd64f6-2fc4-4e42-8df5-c9e199fa7690,3869486,106,780,Portugal,12041,João Félix Sequeira,1,38,46,From Free Kick,102.2,35.4,18.384776310850235,0.2528940650955977,False,Right Foot,Half Volley,Open Play,True,False,False,6,11,117.9,39.4,120.0,36.8,Off T,0.060545366
b5cf82d9-5c1a-49ac-af0d-2fada2d6f0e5,3869486,106,788,Morocco,6301,Youssef En-Nesyri,1,41,36,From Free Kick,112.6,39.7,7.406078584514216,0.04051835247834652,True,Head,Normal,Open Play,False,True,False,5,8,113.9,40.3,120.0,42.7,Goal,0.20030825
